o0001	Qizilga
o1620	Ko'priklarda, estakadalarda va osma yo'llarda, bir yo'nalishda harakatlanish uchun uchtadan kam tasmasi bo'lganda
o1621	Yuk avtomobili haydovchisi traktor haydovchisiga
o1622	Traktor haydovchisi yuk avtomobili haydovchisiga
o1623	O'ng tomonidan transport vositasi yaqinlashayotgan haydovchi
o1624	O'ng tomondagi haydovchi
o1625	Agar avtomobil gidrovakum kuchaytirgichli tormozlar bilan jihozlangan bo'lsa, tavsiya etiladi
o1626	Agar yo'l yaxshi holatda bo'lsa va uzoq ko'rinib tursa, tavsiya etiladi
o1627	Kuzov (kabina) qismlari va bo'yog'iga tashqi tomondan anchagina shikast etgan bo'lsa
o1628	Ulagich moslamasi nosoz bo'lsa (avtopoezd tarkibida)
o1629	Kuzov (kabina) qismlari va bo'yog'iga tashqi tomondan anchagina shikast etgan bo'lsa hamda ressoralarning o'zak qatlami yoki markaziy bolti shikastlangan hollarda
o1630	Svetofor nosozligini
o1631	Harakatga ruxsat beradi va tez orada taqiqlovchi ishora yonishi to'g'risida axborot beradi
o1632	Harakatni davom ettirishni taqiqlaydi
o1633	Chorrahaga birinchi kirgan qizil avtomobilga yo'l berish
o1634	Qizil avtomobil yo'l berayotganiga ishonch hosil qilib chorrahadan birinchi o'tish
o1635	Faqat avtobusga
o1636	Faqat qizil avtomobilga
o1637	Hech kimga
o1638	Faqat qayta tizilishda
o1639	Yo'lda boshqa transport vositalari bo'lmasa
o1640	Faqat tog'li yo'llarda
o1641	Yo'l yaxmalak, sirpanchiq bo'lgan hollarda
o1642	Kunning qorong'i vaqtida va yetarli ko'rinmaslik sharoitida
o1643	"Б" yoki "В"
o1644	Bitta harakatlanish tasmasiga
o1645	Ikkita harakatlanish tasmasiga
o1646	Uchta harakatlanish tasmasiga
o1647	Tartibga solingan chorrahada to'xtash chizig'iga yaqinlashayotganligi haqida ogohlantiradi
o1648	To'xtash chizig'i va "To'xtamasdan harakatlanish taqiqlanadi" yo'l belgisi o'rnatilgan yo'l qismiga yaqinlashayotganligini bildiradi
o1649	"Yo'l bering" yo'l belgisiga yaqinlashayotganligini bildiradi
o1650	Mototsikl haydovchisi
o1651	Trotuarda to'xtab turgan avtomobil haydovchisi
o1652	Faqat o'quv mashg'ulotlarini bajarish
o1653	Faqat dvigatel ishlab turganda to'xtab turish
o1654	4 metrdan oshmasligi
o1655	4 metrdan 6 metrgacha
o1656	Qoidalarda belgilanmagan
o1657	Tashqi yoritgich asboblari ifloslangan bo'lsa
o1658	Yorituvchi chiroq nurining yo'nalishi buzilgan bo'lsa
o1659	Old qismida - oq yoki sariq rangli tumanga qarshi faralar o'rnatilgan bo'lsa
o1660	Rul chambaragini zudlik bilan sirpanayotgan tomonga burish va tezda avtomobilni harakat yo'nalishini to'g'irlab olish
o1661	Ilashmani uzish
o1662	Faqat "А" va "Б"
o1663	Barchasi
o1664	Buzdi
o1665	Buzmadi, agar uning ruxsat etilgan to'liq vazni 3,5 tonnadan oshmasa
o1666	Xato qilmadi
o1667	Quvib o'tishda ogohlantirish uchun
o1668	Yo'l-transport hodisasining oldini olish uchun
o1669	Har ikkala sanab o'tilgan hollarda
o1670	Faqat "А" va "B"
o1671	Ruxsat etilmaydi
o1672	Ruxsat etiladi, agarda siz o'ngga buriladigan bo'lsangiz
o1673	Faqat "А" yo'nalishi bo'yicha
o1674	Faqat "Б" yo'nalishi bo'yicha
o1675	Ko'rsatilgan barcha yo'nalish bo'yicha
o1676	Har qanday hollarda ruxsat beriladi
o1677	Ruxsat beriladi agarda bunda harakatning boshqa ishtirokchilariga xalaqit berilmasa
o1678	Cheklangan ko'rinish sharoitida
o1679	Yetarlicha ko'rinmaslik sharoitida
o1680	Tormoz tepkisini uzib-uzib bosish yo'li bilan
o1681	Tormoz tepkisini oxirigacha bosish va avtomobilni to'liq to'xtaguncha tepkini qo'yib yubormaslik
o1682	To'xtab turish tormozi tizimini qo'llash yo'li bilan
o1683	Qo'lni ishlatmasdan texnik vositalaridan foydalanish gaplashishga ruxsat etiladi
o1684	20 km/s tezlikda harakatlanayotganda ruxsat etiladi
o1685	Birinchi bo'lib o'tish huquqiga egasiz
o1686	Kesib o'tayotgan yo'ldagi transport vositalariga yo'l berishingiz kerak
o1687	Faqatgina o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishingiz kerak
o1688	Faqat "Б" yo'nalish bo'yicha
o1689	10°
o1690	Siz o'ngga yoki chapga burilishingiz kerakligini ko'rsatadi
o1691	Reversiv harakatlanish yo'liga chiqish haqida
o1692	Chorrahadan o'ngga va chapga bir tomonlama harakat tashkil qilingan
o1693	Quvib o'tishni
o1694	Aylanib o'tishni
o1695	Qayralib olishni
o1696	Sanab o'tilgan barcha manevrlarga ruxsat beriladi
o1697	Imtiyoz belgilari
o1698	Taqiqlovchi belgilar
o1699	Buyuruvchi belgilar
o1700	Barcha sanab o'tilganlari
o1701	Tovush signalidan foydalanish
o1702	Faqat yaqinni yorituvchi chiroqni uzoqni yorituvchi chiroqqa qisqa muddat orasida o'tkazish bilan ishora berish
o1703	Faqat birgalikda yorug'lik ishoralari bilan birga tovush signallarini qo'llash
o1704	Sanab o'tilganlarning barchasidan foydalanish
o1705	Yonilg'i darajasini ko'rsatish qurilmasi ishlamaydi
o1706	O't oldirish tizimi nosoz
o1707	Dvigatel qiyinchilik bilan ishga tushadi
o1708	Tovush signallari ishlamaydi
o1709	Chapga va orqaga qayrilib olishga
o1710	O'ngga, chapga va orqaga qayrilib olishga
o1711	Yo'lovchilarni tashiyotgan avtobus va yo'nalishli transport vositalarida
o1712	Xavfli, katta o'lchamli va og'ir vaznli yuklarni tashishda
o1713	Mototsikl va mopedlarda
o1714	Tibbiy quticha
o1715	O't o'chirgich
o1716	Falokat to'xtash belgisi
o1717	G'ildirab ketishga qarshi moslama
o1718	Uyquchanlik, bo'shashish, diqqatning susayishi
o1719	Zo'riqish, asabiylashish
o1720	Bosh aylanishi, ko'zlarga qum kirgan kabi achishish, terlash alomati
o1721	Majburiy harakatni
o1722	Chorrahada harakatlanish tasmasini chegarasini
o1723	Manyovrni tugallagach, darhol
o1724	Quvib o'tilayotgan transport vositasidan o'zib ketgandan so'ng istalgan vaqtda
o1725	O'z ixtiyoringizga havola
o1726	Faqat tratuarda
o1727	Faqat qatnov qismidan
o1728	Tratuarda, hamda qatnov qismida
o1729	Yo'lning harakat qismini bo'shatishlari kerak
o1730	Transport vositasini darhol to'xtatishi, avariya ishoralarini yoqishi va avariya sababli to'xtash belgisini o'rnatishi
o1731	Sodir etilgan hodisa haqida YHXXga xabar berishi kerak
o1732	Faqat "А" va "Г"
o1733	Istalgan tasmadan
o1734	Faqat chap tasmadan
o1735	Faqat yengil avtomobil haydovchisi
o1736	Faqat mototsikl haydovchisi
o1737	Ikkisi ham buzmoqda
o1738	Gabarit chiroqlardan
o1739	Yaqinni yorituvchi chiroqlardan
o1740	Yaqinni yoki uzoqni yorituvchi chiroqlardan
o1741	Yuksiz va yo'lovchilarsiz
o1742	Yo'lovchilar bilan yuksiz
o1743	Yo'lovchilarsiz, yuqori yukxonasida yuki bilan
o1744	Faqat etarlicha ko'rinmaslik sharoitida
o1745	Kunning qorong'u vaqtida
o1746	Har ikki sanab o'tilgan holda
o1747	Piyodalar o'tish joyi oldida piyodalarga yo'l berish uchun to'xtab
o1748	Texnik nosozlik tufayli yo'lning harakat qismida.
o1749	Faqat "Б" va "В"
o1750	Barcha belgilar
o1751	Yoqilg'i sarfi ortadi
o1752	Yoqilg'i sarfi kamayadi
o1753	Yoqilg'i sarfi o'zgarmaydi
o1754	Faqat tovush ishorasi bilan
o1755	Faqat yorug'lik faralarini qisqa-qisqa yoqib o'chirish bilan
o1756	Sanab o'tilgan barcha usul bilan va ularni birga qo'llash bilan
o1757	Avtomobillarni
o1758	Avtobuslarni
o1759	Barcha motosikllarni
o1760	Faqat yon kajavasiz motosikllarni
o1761	Ha, yaqinlashib kelayotgan poezd yo'q bo'lsa
o1762	Motosiklga yo'l berishingiz kerak
o1763	Har ikkisiga hamyo'l berishingiz kerak
o1764	Birinchi o'tish huquqiga egasiz
o1765	Burilishdan oldin tezlikni kamaytirib, avtomobilni erkin harakatlanishi uchun ilashma tepkisini bosishi
o1766	Burilishdan oldin tezlikni kamaytirish, kerak bo'lsa uzatmalar pag'onasini pasaytirish, burilishdan o'tayotganda tezlikni oshirmaslik va avtomobilni keskin tormozlamaslik
o1767	Sanab o'tilgan ikkisiga ham ruxsat etiladi
o1768	Tirkama qo'shimcha qarshilikka ega bo'lgani uchun tormoz yo'li kamayadi
o1769	Tormoz yo'li uzayadi
o1770	Aslidagidan kam tezlikda tuyuladi
o1771	Aslidagidan katta tezlikda tuyuladi
o1772	Tezlikni qabul qilish o'zgarmaydi
o1773	Bir va bir necha transport vositalaridan o'zib ketish
o1774	Egallab turgan tasmadan qarama qarshi harakat tasmasiga chiqib bir yoki bir necha transport vositalaridan o'zib ketish va dastlab egallab turgan tasmasiga qaytish
o1775	Egallagan harakatlanish tasmasidan chiqib, oldinda harakatlanayotgan transport vositasidan o'zib ketish
o1776	Yetarli
o1777	Yetarli emas
o1778	Faqat keskin tormoz berishda
o1779	Faqat nam qoplama yoki yaxmalakli yo'llarda tormoz berganda
o1780	Har qanday tormozlashda
o1781	Orqa tumanga qarshi chiroqlarini yoqish
o1782	Shatakka olingan transport vositasi orqa tomoniga falokat sababli to'xtash belgisini o'rnatish
o1783	Avtomobilni faqat sirpanish ehtimolining oldini oladi
o1784	Avtomobilni faqat yonga siljish ehtimolining oldini oladi
o1785	Avtomobilning sirpanish va yonga tomonga sirpanishini oldini olmaydi
o1786	35 m
o1787	Harakatni boshlashdan avval
o1788	Harakatni boshlagandan so'ng
o1789	Harakatni boshlash bilan bir vaqtda
o1790	Ruxsat etiladi, agarda Sizning transport vositangiz bilan sidirg'a chiziq orasidagi masofa 3 metrdan ortiq bo'lsa?
o1791	Ruxsat etiladi, agarda ikki tomonda orqani ko'rsatuvchi ko'zgusi bo'lsa
o1792	Har ikki transport vositasiga
o1793	Hech qaysisida
o1794	Aslidagidan sekin harakatlanayotganga o'xshaydi
o1795	Aslidagidan tez harakatlanayotganga o'xshaydi
o1796	Ochiq joyda harakatlanganda
o1797	Yo'lning yopiq qismida harakatlanganda
o1798	Yo'lning yopiq qismidan ochiq qismiga chiqishda
o1799	Faqat tovushli ishoralarni qo'llab
o1800	Faqat chiroqlarni yoqib-o'chirish bilan
o1801	Sanab o'tilgan barcha usul bilan va ularni birgalikda qo'llash bilan
o1802	Belgi oldida to'xtash
o1803	To'xtash chizig'i oldida to'xtash
o1804	Boshqa transport vositalari bo'lmasa, chorrahadan to'xtamasdan o'tib ketish
o1805	Tovushli signal berish
o1806	Falokat yorug'lik ishoralarini yoqish
o1807	Yonlama oraliq masofani tanlashni tezlikka aloqasi yo'q
o1808	Tezlik oshganda yonlama oraliq masofani oshirish kerak
o1809	Oldi tomonidan
o1810	Orqa tomonidan
o1811	Istalgan tomonidan
o1812	Faqat 30 km. tezlikda ruxsat etiladi
o1813	Tepkini yanada kuchliroq bosish
o1814	Tepkiga ta'sir etuvchi kuchni o'zgartirmaslik
o1815	Tepkiga ta'sir etuvchi kuchni kamaytirish
o1816	Tezlikni kamaytirish va ehtiyot bo'lishi kerak
o1817	Tezlikni o'zgartirmasdan harakatlani davom ettirish
o1818	Yomg'ir tezlashib ketmasdan tezroq harakat qilishi
o1819	Faqat o'ngga va chapga
o1820	Istalgan yo'nalishda
o1821	Faqat "Б" va "Г"
o1822	Faqat "А" , "Б" va "В"
o1823	Manevr bajarishdan oldin
o1824	Manevr bajargandan so'ng darhol
o1825	Manevr bajarayotganda
o1826	Aholi punkti nomini ko'rsatuvchi oq rangli 5.22 yo'l belgisidan boshlab
o1827	Aholi punkti nomini ko'rsatuvchi oq 5.22 yoki 5.24 havorang rangli belgidan boshlab
o1828	Yo'l yuzidagi qurilma va inshootlardan boshlab
o1829	Yo'l qatnov qismining piyodalar kesib o'tishi mo'ljallangan, 5.16.1, 5.16.2 yo'l belgilari va 1.14.1-1.14.3 yo'l chiziqlari bilan ajratilgan tasmasi.
o1830	Yo'lning piyodalar harakatlanishi uchun mo'ljallangan va transport vositalari harakati taqiqlangan qismi.
o1831	Qatnov qismiga tutashgan yoki undan maysazor ariq maxsus to'siqlar bilan ajratilgan va piyodalarning va piyodalarning harakatlanishi uchun mo'ljallangan yo'l qismi
o1832	Oldinda harakatlanish serqatnovligi haqida ogohlantiradi
o1833	Oldinda transport vositalarning tirbandligi haqida ogohlantiradi
o1834	Oldinda transport vositalari orasida xavfsiz oraliqni ta'minlash lozimligi haqida ogohlantiradi.
o1835	Velosiped yo'lkasini
o1836	Sun'iy yo'l notekisligini
o1837	Yo'nalishli taksilar to'xtaydigan joyni
o1838	Shiddat bilan tezlanish va ohista sekinlashish bilan
o1839	Ohista tezlanish va shiddat bilan sekinlashish bilan
o1840	Ohista tezlanish va ohista sekinlashish bilan
o1841	Boshqa yo'nalishlarda harakatlanayotgan transport vositalariga
o1842	O'ngdan kelayotgan transport vositalariga
o1843	Qarama qarshi yo'nalishda to'g'riga yoki o'ngga harakatlanayotgan transport vositalariga
o1844	Hech biriga
o1845	Qizil, ko'k, yashil va sariq avtomobilga
o1846	Qizil va sariq avtomobilga
o1847	Qizil, sariq va yashil avtomobilga
o1848	Faqat yo'lning chetki o'ng tasmasida o'ng tomonidan bir qator bo'lib harakatlanishiga
o1849	Faqat yo'l yoqasidan harakatlanishiga, agar piyodalarga xalaqit bermasa
o1850	Barcha sanab o'tilgan holatlarga
o1851	A
o1852	Б
o1853	В
o1854	Transport vositasining yo'lda harakatlanishi jarayonida ro'y bergan, fuqarolarning halok bo'lishiga yoki sog'ligiga zarar etishiga, transport vositalari, inshootlar, yuklarning shikastlanishi yoxud boshqa moddiy zarar etishiga sabab bo'lgan hodisa
o1855	Yo'l harakati qatnashchilarining yo'l-transport hodisalari va ularning oqibatlaridan himoyalanganlik darajasini aks ettiruvchi yo'l harakati holati
o1856	Birinchisida
o1857	Ikkinchisida
o1858	A va Б
o1859	В va Г
o1860	B
o1861	C
o1862	B va C
o1863	25 % dan kam
o1864	16 % dan kam
o1865	31 % dan kam
o1866	20 % dan kam
o1867	To'xtab turish tormozidan foydalanish lozim
o1868	Birinchi uzatmani yoki orqa uzatmani ulash lozim
o1869	Uzatmalar qutisi richagi ni neytral holatga o'tkazish lozim
o1870	Б va В
o1871	A va Г
o1872	Г
o1873	Yo'l qatnov qismining piyodalar kesib o'tishi uchun mo'ljallangan, 5.16.1, 5.16.2 yo'l belgilari va 1.14.1-1.14.3 yo'l chiziqlari bilan ajratilgan tasmasi.
o1874	Yo'lning piyodalar harakatlanishi uchun mo'ljallangan va transport vositalari harakati taqiqlangan qismi
o1875	Qatnov qismiga tutashgan yoki undan maysazor, ariq maxsus to'siqlar bilan ajratilgan va piyodalarning harakatlanishi uchun mo'ljallangan yo'l qismi
o1876	Tezlikni oshirish lozim
o1877	Tormoz tepkisini keskin bosish bilan tezlikni kamaytirish lozim
o1878	Dvigatel bilan tormozlash orqali tezlikni kamaytirishi lozim
o1879	Hushdan ketish bir necha soniyadan bir necha soatgacha bo'lishi mumkin
o1880	Qayt qilish bir-ikki marta, og'ir holatlarda ko'proq bo'lishi mumkin
o1881	Amneziya - xotiraning yo'qolishi,sodir bo'lgan jarohatlanish bilan bog'liq va hayotdagi ba'zi voqealar xotirasidan o'chadi
o1882	Barchasi holatlar to'g'ri
o1883	Faqat A
o1884	A va B
o1885	Bevosita yo'lga tutashgan va transport vositalari o'tib ketishi uchun mo'ljallanmagan hudud (hovlilar, turar joy dahalari, avtomobil to'xtab turish joylari, yonilg'i quyish shoxobchalari, korxona va shunga o'xshashlar)
o1886	Yo'llarning o'zaro bir sathda kesishadigan, tutashadigan va ayriladigan joyi
o1887	Yo'lning relssiz transport vositalari harakati uchun mo'ljallangan qismi
o1888	С
o1889	Yuk avtomobillarini
o1890	Yengil avtomobillarni
o1891	Barcha turdagi transport vositalarini
o1892	A va В
o1893	A va C
o1894	Teri va shilliq qavatlarining oqarishi
o1895	Kuchli ter ajralishi
o1896	Og'iz qurishi chanqoqlik nafas olishning tezlashuvi
o1897	Barcha holatlar to'g'ri
o1898	Yo'l transport hodisalarining kelib chiqish sabablarini oldini olishga, ularning og'ir oqibatlarini kamaytirishga qaratilgan faoliyat
o1899	Yo'llarda harakatni boshqarish bo'yicha huquqiy, tashkiliy - texnikaviy tadbirlar va boshqaruv harakatlari majmui.
o1900	А va Г
o1901	Burchak ostida
o1902	Parallel ravishda
o1903	Istalgan usulda
o1904	Harakatlanishga ruxsat beradi
o1905	Chorraha tartibga solinmaganligi to'g'risida
o1906	Barcha javoblar to'g'ri
o1907	А, Б, В
o1908	Kunning yorug' vaqtida.
o1909	Kunning qorong'u vaqtida.
o1910	Istalgan vaqtda.
o1911	Transport vositalari haydovchilari
o1912	Velosiped yo'lkasidan harakatlanayotgan velosiped va moped haydovchilari
o1913	Amneziya - xotiraning yo'qolishi, sodir bo'lgan jarohatlanish bilan bog'liq va hayotdagi ba'zi voqealar xotirasidan o'chadi
o1914	Qatnov qismi
o1915	Harakatlanish tasmasi
o1916	Yo'l yoqasi
o1917	Yondosh hudud
o1918	Motosikl va sariq avtomobil
o1919	Harakatlanish taqiqlanadi
o1920	Faqat to'g'riga va o'ngga
o1921	Barcha yo'nalishda ruxsat etiladi
o1922	Yo'l transport hodisasi
o1923	Yo'l harakati xavfsizligini ta'minlash
o1924	Majburiy to'xtash
o1925	A va D
o1926	А
o1927	Chapga burilishni yoki qayrilib olishni
o1928	O'ngga burilish yoki qayrilib olishni
o1929	To'xtashni
o1930	Ohista (ravon) tezlanish va shiddat bilan sekinlashish bilan
o1931	Ohista (ravon) tezlanish va ohista sekinlashish bilan
o1932	Qon tomirlaridan pushti rangli kuchli pulsatsiya bilan otilib chiqadi
o1933	Qon tomirlaridan to'q qizil rangdagi qon sizib oqib chiqadi
o1934	Mayda qon tomirlaridan ichki a'zolarga qonning oqib chiqishi kuzatiladi
o1935	Yo'l harakati qatnashchilariga nisbatan imtiyozi bo'lgan boshqa yo'l harakati qatnashchisining harakat yo'nalishi yoki tezligini o'zgartirishga majbur etishi mumkin bo'lgan hollarda harakatni davom mumkin bo'lgan hollarda harakatni davom ettirmasligini yoki boshlamasligini, biror-bir manyovr bajarishi mumkin emasligini bildiruvchi talab
o1936	Mo'ljallangan yo'nalishda boshqa yo'l harakati qatnashchilariga nisbatan oldin harakatlanish huquqi
o1937	To'siq bo'lmagan tomondagi haydovchi
o1938	To'siq o'z tomonida bo'lgan haydovchi
o1939	Burilish markaziga nisbatan avtomobil trayektoriyasidan tashqarida
o1940	Avtomobil burilish trayektoriyasi bo'yicha
o1941	Burilish markaziga nisbatan avtomobil trayektoriyasidan ichkarida
o1942	Boshqa harakat qatnashchilariga yo'l berishi kerak
o1943	Boshqa harakat qatnashchilariga nisbatan imtiyozga ega
o1944	Tezlikni oshirishi lozim
o1945	Tormoz tepkisini keskin bosish bilan tezlikni kamaytirishi lozim
o1946	Qon tomirlaridan pushti rangli qon kuchli pulsatsiya bilan otilib chiqadi
o1947	Mayda qon tomirlaridan ichki a'zolarga qon sizib oqib chiqadi
o1948	Sekinlashish tasmasi o'tguncha
o1949	Sekinlashish tasmasiga o'tgach
o1950	D
o1951	6
o1952	7
o1953	Oldinda tik balandlik borligini
o1954	Oldinda ko'tarma ko'prik borligini
o1955	Haydovchi biron bir xavfni aniqlab, avtomobilni to'liq to'xtaguncha bosib o'tgan masofasi
o1956	Haydovchi tormoz tepkisini bosgandan to avtomobil to'liq to'xtaguncha bosib o'tilgan masofa
o1957	Odamlarni, yuklarni tashishga yoki maxsus ishlarni bajarishga mo'ljallangan qurilma
o1958	Mexanik transport vositasi tarkibida harakatlanishga mo'ljallangan, dvigatel bilan jihozlanmagan transport vositasi. Bu atama yarim tirkama va uzaytirilgan tirkama va uzaytiriladigan tirkamalarga ham taalluqlidir
o1959	Dvigatel bilan harakatga keltiriladigan transport vositasi. Bu atama barcha traktor va o'ziyurar moslamalarga ham taalluqlidir
o1960	Kengayadi
o1961	O'zgarmaydi
o1962	Torayadi
o1963	Bevosita yo'lga tutashgan va transport vositalari o'tib ketishi uchun mo'ljallanmagan hudud (hovlilar, turar joy dahalari avtomobil to'xtab turish joylari, yonilg'i quyish shoxobchalari, korxona va shunga o'xshashlar).
o1964	10 gradus
o1965	20 gradus
o1966	25 gradus
o1967	Majburiy tarzda tezlikni kamaytirish uchun
o1968	To'xtamasdan o'tishni taqiqlaydi
o1969	Ehtiyot choralarni ko'rish uchun
o1970	Temir yo'l kesishmasiga yaqinlashganlik haqida
o1971	Xavfli chorrahaga yaqinlashganlik haqida
o1972	Yo'lning kichik radiusli burilish, tik nishablik va boshqa xavfli joylarida yo'l to'siqlarining yon yuzalarini bildiradi
o1973	Tahminan 0,2 soniya
o1974	Tahminan 1 soniya
o1975	Tahminan 5 soniya
o1976	Xavfli yuk tashiyotgan transport vositalari harakatini taqiqlaydi
o1977	Og'ir yuk tashiyotgan transport vositalari harakatini taqiqlaydi
o1978	Portlovchi va tez alangalanadigan yuk tashiyotgan trasport vositalari harakatini taqiqlaydi
o1979	Gaz berishni kamaytirib rul chambaragi bilan boshqaruvni barqarorlashtirasiz
o1980	Tormozlab turib rul chambaragini sirpangan tomonga burasiz
o1981	Gaz pedalini ohista bosib, avtomobilni rul chambaragini to'g'rilab, avtomobilni sirpanishdan olib chiqib ketasiz
o1982	Gaz pedalini ko'proq bosib rul chambaragini o'zgartirmasdan sirpanishdan olib chiqasiz
o1983	Jarohatlangan odamni qattiq va tekis zambilga solib, bo'yin qismi tagiga qattiq yostiqcha qo'yib, qo'zg'atmasdan, mahkam bog'lab shifoxonaga yuboriladi
o1984	Jarohatlangan odamni yonboshlatib yotqizib, bo'yin qismi tagiga qattiq yostiqcha qo'yib, qo'zg'atmasdan, mahkam bog'lab shifoxonaga yuboriladi
o1985	Jarohatlangan odamni tinchlantirish, jarohatlangan joy sohasiga sovuq suv muz qo'yish yo'llari bilan sovutish og'riqni susaytirish va qon ketishini kamaytirish
o1986	Faqat Б
o1987	Faqat Д
o1988	Faqat C
o1989	Yo'l harakati qoidalari o'rnatgan tezlik chegaralarini
o1990	Transport vositasining texnik tavsifnomasida ko'rsatilgan tezlik chegarasini
o1991	Ko'rish sharoitini
o1992	Avtomobilni tormozlash va to'liq to'xtatish
o1993	Avtomobilni tormozlab, yo'lning qatnov qismiga ohista ravon burish.
o1994	Avtomobilni tormozlamasdan yo'lning qatnov qismiga ohista ravon burish
o1995	3,25 gradus
o1996	Ha, barcha hollarda o'tkazilishi kerak
o1997	Ha, agarda piyodalar o'tish joyi bo'lsa
o1998	Barcha turdagi transport vositalarining to'xtab turish uchun yo'lning qatnov qismida, trotuar yoniga qo'yish usulini
o1999	Yengil avtomobillarning to'xtab turish joyini
o2000	Mexanik transport vositalarining to'xtab turish joyini
o2001	Harakatlanayotgan transport vositalari aylanaga kirib kelayotgan transport vositalariga nisbatan ustunlikka (imtiyozga) ega
o2002	Harakatlanayotgan transport vositalariga nisbatan aylanaga kirib kelayotgan transport vositalari ustunlikka (imtiyozga) ega
o2003	Jarohatlangan joyda og'riq seziladi
o2004	Jarohatlangan joyda shishi paydo bo'ladi, og'riq seziladi, bazan shu joyda mayda kapillyar qon tomirlari yorilib, qon quyilishlari natijasida ko'karish paydo bo'ladi
o2005	Kirish va chiqish yo'llari 5.22-5.25 belgilari bilan belgilangan hududni
o2006	Aholi yashaydigan hududni
o2007	Shahar, qishloq joylari hududini
o2008	Б va Г
o2009	Nishablik qancha qiyin bo'lsa uzatma pag'onasi shuncha yuqori bo'ladi
o2010	Nishablik qancha qiyin bo'lsa uzatma pag'onasi shuncha past tanlanadi
o2011	Pog'onalarni tanlashning nishablikka aloqasi yo'q
o2012	Yo'llarda harakatni boshqarish bo'yicha huquqiy, tashkiliy-texnikaviy tadbirlar va boshqaruv harakatlari majmui
o2013	Avtomobilni tormozlab, yo'lning harakat qismiga ohista ravon burilish
o2014	Avtomobilni tormozlamasdan yo'lning harakat qismiga ohista ravon burish
o2015	Teri va shilliq qavatlarning oqarishi
o2016	Og'iz qurishi, chanqoqlik, nafas olishning tezlashuvi
o2017	Es-hushning noaniqligi, behush holat
o2018	5km/s
o2019	20 km/s
o2020	Avtomobillarning bir qator bo'lib harakatlanishi uchun etarlicha keng bo'lgan, yo'l chiziqlari bilan belgilangan yoki belgilanmagan yo'l qatnov qismining har qanday bo'ylama tasmasi
o2021	Yo'lning yonma-yon joylashgan qatnov qismlarini ajratuvchi, transport vositalari harakatlanishi yoki to'xtashi uchun mo'ljallanmagan, yo'l sathidan ko'tarilgan yoki maysazor, ariq, maxsus to'siqlar bilan ajratilgan baland qismi
o2022	A va С
o2023	Har ikkala rasmda
o2024	Yo'l harakati qatnashchilariga nisbatan imtiyozi bo'lgan boshqa yo'l harakati qatnashchisining harakat yo'nalishi yoki tezligini o'zgartirishga majbur etishi mumkin bo'lgan hollarda harakatni davom ettirmasligini yoki boshlamasligini, biror-bir manyovr bajarishi mumkin emasligini bildiruvchi talab
o2025	Faqat qatnov qismi nam bo'lsa
o2026	Har qanday holatda ham
o2027	To'xtamasdan harakatni davom ettirishingiz mumkin
o2028	Belgi oldida to'xtashingiz va svetoforning ruxsat beruvchi ishorasini kutishingiz kerak
o2029	Faqat sirpanchiqda
o2030	Kunning qorong'i vaqtida va etarlicha ko'rinmaslik sharoitida
o2031	Ruxsat etilgan to'la vazni 3.5tonnadan ortiq bo'lgan yuk avtomobillarini
o2032	Xavfli yuk tashiyotgan transport vositalarining harakatlanishini
o2033	Har ikkala haydovchi ham
o2034	Faqat ko'k avtomobil haydovchisi
o2035	Faqat qizil avtomobil haydovchisi
o2036	Tartibga solinmagan chorraha yoki piyodalar o'tish joyi borligidan xabardor qiladi
o2037	Tartibga solingan chorraha borligidan xabardor qiladi
o2038	Svetofor chirog'i almashuvidan xabardor qiladi
o2039	O'ngga chapga va orqaga
o2040	Faqat transport vositalarga yo'l berasiz
o2041	Barcha qatnov qismidagi piyodalarga yo'l berasiz
o2042	Harakat yo'nalishi bo'yicha va burilayotgan ko'chani kesib o'tayotgan piyodalarga hamda boshqa transport vositalariga yo'l berasiz
o2043	"A" rasmda
o2044	"B" rasmda
o2045	Hech qaysi rasmda
o2046	Motosiklga o'ngga va yengil avtomobilga barcha yo'nalishlarga
o2047	Yengil avtomobilga o'ngga va to'g'riga
o2048	Motosiklga o'ngga, yengil avtomobilga to'g'riga va o'ngga
o2049	Faqat Chapga
o2050	30 gradus
o2051	O'ngga burilishda
o2052	Yo'lovchilarni chiqarish va tushirishda
o2053	Yuqoridagi barcha holatlarda agarda yo'nalishli transport vositalariga xalaqit bermasa
o2054	Obyektgacha bo'lgan masofani bildiradi
o2055	Belgining ta'sir oralig'ini bildiradi
o2056	Avtomobilni tormozlab, yo'lning harakat qismiga ohista ravon burish
o2057	Avtomobilni tormozlamasdan yo'lning harakat qismiga oxista ravon burish
o2058	Belgi ta'siri oralig'ida to'xtagan transport vositalari majburiy evakuasiya qilinishini ko'rsatadi
o2059	Belgi ta'sir oralig'ida to'xtagan transport vositalarini evakuasiya qilish ruxsat etilganligini bildiradi
o2060	Belgi ta'sir oralig'ida to'xtagan transport vositalarini evakuasiya qilish taqiqlanganligini bildiradi
o2061	Tartibga solinmagan, teng ahamiyatga ega bo'lmagan yo'llar kesishgan chorraha
o2062	Tartibga solinmagan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorraha
o2063	Tartibga solingan chorraha
o2064	Keskin tormoz berish uchun
o2065	Ehtiyot choralarini ko'rish uchun
